exchange	stock_symbol	date	dividends
NYSE	APX	5/11/1992	0.073
NYSE	APX	4/10/1992	0.073
NYSE	APX	3/13/1992	0.073
NYSE	APX	2/10/1992	0.077
NYSE	APX	1/13/1992	0.076
NYSE	APX	12/16/1991	0.074
NYSE	APX	11/8/1991	0.077
NYSE	APX	10/11/1991	0.075
NYSE	APX	9/10/1991	0.077
NYSE	APX	8/12/1991	0.078
NYSE	APX	7/15/1991	0.075
NYSE	APX	6/11/1991	0.078
NYSE	APX	5/13/1991	0.077
NYSE	APX	4/12/1991	0.078
NYSE	APX	3/11/1991	0.078
NYSE	APX	2/11/1991	0.079
NYSE	APX	1/14/1991	0.081
NYSE	APX	12/11/1990	0.078
NYSE	APX	11/13/1990	0.08
NYSE	APX	10/15/1990	0.078
NYSE	APX	9/11/1990	0.08
NYSE	APX	8/14/1990	0.08
NYSE	APX	7/16/1990	0.076
NYSE	APX	6/12/1990	0.079
NYSE	APX	5/15/1990	0.075
NYSE	APX	4/10/1990	0.076
NYSE	APX	3/13/1990	0.075
NYSE	APX	2/12/1990	0.076
NYSE	APX	1/12/1990	0.076
NYSE	ALV	2/3/2009	0.21
NYSE	ALV	11/4/2008	0.41
NYSE	ALV	8/5/2008	0.41
NYSE	ALV	5/6/2008	0.39
NYSE	ALV	2/5/2008	0.39
NYSE	ALV	11/6/2007	0.39
NYSE	ALV	8/7/2007	0.39
NYSE	ALV	5/8/2007	0.39
NYSE	ALV	1/30/2007	0.37
NYSE	ALV	11/7/2006	0.37
NYSE	ALV	8/8/2006	0.35
NYSE	ALV	5/2/2006	0.32
NYSE	ALV	1/31/2006	0.32
NYSE	ALV	11/8/2005	0.32
NYSE	ALV	8/9/2005	0.3
NYSE	ALV	5/2/2005	0.3
NYSE	ALV	2/1/2005	0.25
NYSE	ALV	11/8/2004	0.2
NYSE	ALV	8/10/2004	0.2
NYSE	ALV	5/4/2004	0.2
NYSE	ALV	2/3/2004	0.17
NYSE	ALV	11/4/2003	0.15
NYSE	ALV	8/5/2003	0.13
NYSE	ALV	5/2/2003	0.13
NYSE	ALV	2/4/2003	0.13
NYSE	ALV	11/5/2002	0.11
NYSE	ALV	8/6/2002	0.11
NYSE	ALV	5/6/2002	0.11
NYSE	ALV	2/5/2002	0.11
NYSE	ALV	11/6/2001	0.11
NYSE	ALV	8/7/2001	0.11
NYSE	ALV	5/8/2001	0.11
NYSE	ALV	1/30/2001	0.11
NYSE	ALV	11/7/2000	0.11
NYSE	ALV	8/8/2000	0.11
NYSE	ALV	5/4/2000	0.11
NYSE	ALV	2/1/2000	0.11
NYSE	ALV	11/2/1999	0.11
NYSE	ALV	8/3/1999	0.11
NYSE	ALV	5/4/1999	0.11
NYSE	ALV	2/2/1999	0.11
NYSE	ALV	11/3/1998	0.11
NYSE	ALV	8/4/1998	0.11
NYSE	ALV	5/5/1998	0.11
NYSE	ALV	2/3/1998	0.11
NYSE	ALV	11/4/1997	0.11
NYSE	ALV	8/5/1997	0.11
NYSE	AES	11/4/1994	0.042
NYSE	AES	11/4/1993	0.04167
NYSE	AES	7/19/1993	0.04167
NYSE	AES	2/23/1993	0.025
NYSE	AES	9/2/1992	0.01666
NYSE	AGN	11/5/2009	0.05
NYSE	AGN	8/13/2009	0.05
NYSE	AGN	5/14/2009	0.05
NYSE	AGN	2/18/2009	0.05
NYSE	AGN	8/13/2008	0.05
NYSE	AGN	5/21/2008	0.05
NYSE	AGN	2/13/2008	0.05
NYSE	AGN	11/7/2007	0.05
NYSE	AGN	8/15/2007	0.05
NYSE	AGN	5/16/2007	0.05
NYSE	AGN	2/14/2007	0.05
NYSE	AGN	11/8/2006	0.05
NYSE	AGN	8/16/2006	0.05
NYSE	AGN	5/17/2006	0.05
NYSE	AGN	2/15/2006	0.05
NYSE	AGN	11/14/2005	0.05
NYSE	AGN	8/10/2005	0.05
NYSE	AGN	5/11/2005	0.05
NYSE	AGN	2/10/2005	0.05
NYSE	AGN	11/8/2004	0.045
NYSE	AGN	8/16/2004	0.045
NYSE	AGN	5/10/2004	0.045
NYSE	AGN	2/13/2004	0.045
NYSE	AGN	11/5/2003	0.045
NYSE	AGN	8/8/2003	0.045
NYSE	AGN	5/13/2003	0.045
NYSE	AGN	2/14/2003	0.045
NYSE	AGN	11/12/2002	0.045
NYSE	AGN	8/20/2002	0.045
NYSE	AGN	7/1/2002	1.222
NYSE	AGN	5/15/2002	0.045
NYSE	AGN	2/13/2002	0.045
NYSE	AGN	11/14/2001	0.045
NYSE	AGN	8/16/2001	0.045
NYSE	AGN	5/16/2001	0.045
NYSE	AGN	2/14/2001	0.045
NYSE	AGN	11/15/2000	0.04
NYSE	AGN	8/23/2000	0.04
NYSE	AGN	5/24/2000	0.04
NYSE	AGN	2/16/2000	0.04
NYSE	AGN	11/16/1999	0.035
NYSE	AGN	8/25/1999	0.035
NYSE	AGN	5/26/1999	0.035
NYSE	AGN	2/11/1999	0.035
NYSE	AGN	11/4/1998	0.0325
NYSE	AGN	8/19/1998	0.0325
NYSE	AGN	5/20/1998	0.0325
NYSE	AGN	3/11/1998	0.1125
NYSE	AGN	2/12/1998	0.0325
NYSE	AGN	11/13/1997	0.0325
NYSE	AGN	8/20/1997	0.0325
NYSE	AGN	5/21/1997	0.0325
NYSE	AGN	2/13/1997	0.0325
NYSE	AGN	11/14/1996	0.0325
NYSE	AGN	8/22/1996	0.03
NYSE	AGN	5/22/1996	0.03
NYSE	AGN	2/14/1996	0.03
NYSE	AGN	11/15/1995	0.03
NYSE	AGN	8/23/1995	0.03
